# YuEEG 日志 - 2025-08-24 18:53:51
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# .000,0.000,0.000
2025-08-24 18:53:51.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 18:53:51.946,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.976,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.989,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.992,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.994,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.995,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.996,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.998,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:51.999,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.000,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.002,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.003,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.004,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.006,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.007,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.009,-0.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.011,-0.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.012,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.013,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.015,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.016,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.017,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.018,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.020,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.021,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.022,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.024,187.5,187.5,187.5,187.5,187.5,187.5,-0.0,187.5
2025-08-24 18:53:52.026,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.029,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.032,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.035,187.5,187.5,187.5,-0.0,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.038,187.5,187.5,187.5,-93.75,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.040,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.046,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.054,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.055,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.060,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.065,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:53:52.067,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
