# YuEEG 日志 - 2025-08-24 19:20:29
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 00,0.000
2025-08-24 19:20:29.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:20:29.567,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.608,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.612,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.614,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.615,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.617,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.619,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.621,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.622,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.624,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.625,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.627,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.628,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.629,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.631,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.632,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.634,187.5,187.5,187.5,187.5,-0.0,187.5,187.5,187.5
2025-08-24 19:20:29.635,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.637,187.5,187.5,187.5,187.5,187.5,-0.0,187.5,187.5
2025-08-24 19:20:29.638,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.640,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.641,187.5,187.5,187.5,187.5,187.5,187.5,-93.75,187.5
2025-08-24 19:20:29.643,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.645,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.646,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.647,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.649,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.651,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.653,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.654,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.656,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.660,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.667,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.668,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.670,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.671,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.672,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.677,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.680,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.681,187.5,187.5,187.5,187.5,187.5,187.5,187.454,0.092
2025-08-24 19:20:29.684,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.687,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.689,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.692,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.695,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-23.437
2025-08-24 19:20:29.698,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.701,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.704,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.706,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.709,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.711,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-0.0
2025-08-24 19:20:29.714,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.718,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.721,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.723,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.726,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.729,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.731,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.735,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.739,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.741,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.743,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.746,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.748,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.752,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.755,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.758,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.760,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.763,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.766,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.769,187.5,187.5,187.5,187.5,-0.0,187.5,187.5,187.5
2025-08-24 19:20:29.772,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.775,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.777,187.5,-0.0,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.780,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.782,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.785,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.789,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.791,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.794,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.797,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:20:29.800,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
