# YuEEG 日志 - 2025-08-24 19:23:19
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 00,0.000,0.000
2025-08-24 19:23:20.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:23:20.152,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.184,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.196,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.198,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.200,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.202,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.203,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.205,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.206,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.207,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.209,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.210,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.213,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.214,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.215,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.217,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.218,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.219,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.221,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.222,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.224,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.226,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.228,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.229,187.5,187.5,187.5,187.5,187.5,187.5,187.134,0.732
2025-08-24 19:23:20.230,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.233,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.234,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.236,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.237,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.238,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.241,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.248,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.255,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.256,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.262,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.269,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.272,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.274,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.275,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.277,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.278,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.279,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.281,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.282,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.284,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.286,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.289,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.292,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.295,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.298,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.301,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.303,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.306,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.309,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.312,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.319,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:23:20.323,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
