# YuEEG 日志 - 2025-08-24 19:26:08
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 0.046,0.000,0.000
2025-08-24 19:26:08.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:26:08.913,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.953,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.957,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.958,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.959,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.961,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.962,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.963,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.965,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.966,187.5,187.5,187.5,187.5,-0.0,187.5,187.5,187.5
2025-08-24 19:26:08.967,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.970,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.971,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.973,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.974,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.976,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.977,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.978,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.980,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.981,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.983,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.985,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.986,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.988,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.989,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:08.998,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:26:09.006,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
