# YuEEG 日志 - 2025-08-24 19:28:06
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# .001,0.000,0.000,0.000,0.000,11.719
2025-08-24 19:28:07.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:28:07.160,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.191,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.203,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.205,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.207,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.209,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.210,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.212,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.214,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.215,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.216,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.218,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.219,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.220,187.5,-93.75,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.222,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.222,187.499,0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
2025-08-24 19:28:07.224,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:28:07.225,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
