# YuEEG 日志 - 2025-08-24 19:36:01
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-08-24 19:36:02.190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:36:02.227,0.061997,0.066241,0.075094,0.065313,0.037979,0.109377,0.035503,0.126528
2025-08-24 19:36:02.238,0.062131,0.066295,0.075238,0.065529,0.038155,0.109342,0.035475,0.126754
2025-08-24 19:36:02.245,0.062398,0.066535,0.075538,0.066053,0.038623,0.109607,0.035524,0.127249
2025-08-24 19:36:02.247,0.062455,0.066628,0.075612,0.066151,0.038733,0.109781,0.035561,0.127332
2025-08-24 19:36:02.249,0.062268,0.066481,0.075415,0.065795,0.038436,0.10971,0.035583,0.127005
2025-08-24 19:36:02.250,0.062151,0.066356,0.075297,0.065487,0.038169,0.109444,0.035641,0.126791
2025-08-24 19:36:02.251,0.062417,-0.120944,0.075586,0.065941,0.038561,0.109627,0.035661,0.127219
2025-08-24 19:36:02.253,0.062595,0.06675,0.075795,0.066303,0.038898,0.109898,0.035706,0.127554
2025-08-24 19:36:02.255,0.062524,0.066711,0.075724,0.066171,0.0388,0.109927,0.035736,0.127431
2025-08-24 19:36:02.255,0.062295,0.066547,0.075485,0.065697,0.038411,0.109702,0.03578,0.127016
2025-08-24 19:36:02.257,0.0624,0.06657,0.0756,0.065812,0.038495,0.109613,0.035799,0.127176
2025-08-24 19:36:02.259,0.062667,0.066806,0.075902,0.066347,0.038983,0.109814,0.035846,0.127694
2025-08-24 19:36:02.261,0.062724,0.066905,0.075976,0.066453,0.039102,0.109959,0.035883,0.127786
2025-08-24 19:36:02.261,0.062537,0.066757,0.075777,0.066088,1e-06,-0.143434,-0.178893,-0.129781
2025-08-24 19:36:02.263,0.062419,0.066631,0.07566,0.065765,0.038499,0.109742,0.035964,0.127205
2025-08-24 19:36:02.265,0.062687,0.066833,0.075951,0.066233,0.038915,0.109866,0.035984,0.127655
2025-08-24 19:36:02.269,0.062864,0.067027,0.076159,0.066597,0.039252,0.110125,0.036029,0.127992
2025-08-24 19:36:02.273,0.156541,0.066987,0.076086,0.066455,0.039142,0.110185,0.036058,0.127856
2025-08-24 19:36:02.278,0.062562,0.066822,0.075846,0.065968,0.038731,0.110026,0.041963,0.12742
