# YuEEG 日志 - 2025-08-24 19:39:26
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 0,0.000000,0.000000,0.000000,0.000000,0.000001
2025-08-24 19:39:26.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
2025-08-24 19:39:26.829,0.09375,0.0,0.0,0.0,0.0,0.0,0.046875,1e-06
2025-08-24 19:39:26.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
2025-08-24 19:39:26.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
2025-08-24 19:39:26.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093751
2025-08-24 19:39:26.839,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:39:26.841,0.138932,0.155612,0.155396,0.136539,0.151164,0.1875,0.138685,0.1875
2025-08-24 19:39:26.845,0.139227,0.155849,0.155719,0.137018,0.151546,0.1875,0.138735,0.1875
2025-08-24 19:39:26.875,0.13939,0.155973,0.155919,0.137357,0.15184,0.1875,0.138792,0.1875
2025-08-24 19:39:26.886,0.139314,0.155885,0.155839,0.137229,0.151754,0.1875,0.138832,0.1875
2025-08-24 19:39:26.889,0.139098,0.15576,0.155601,0.136769,0.151406,0.1875,0.138875,0.1875
2025-08-24 19:39:26.890,0.139142,0.15583,0.155641,0.136752,0.151385,0.1875,0.140259,0.000727
2025-08-24 19:39:26.892,0.139546,0.156148,0.156096,0.137463,0.151964,0.1875,0.138989,0.1875
2025-08-24 19:39:26.894,0.139589,0.156171,0.156157,0.13755,0.152055,0.1875,0.139037,0.1875
2025-08-24 19:39:26.896,0.139409,0.15602,0.155958,0.137209,0.151797,0.1875,0.139071,0.1875
2025-08-24 19:39:26.897,0.139353,0.156048,0.155888,0.136964,0.151605,0.1875,0.139133,0.1875
2025-08-24 19:39:26.898,0.139646,0.156284,0.15621,0.13744,0.151988,0.1875,0.139182,0.1875
2025-08-24 19:39:26.899,0.13981,0.156408,0.156411,0.13778,0.15228,0.1875,0.139239,0.1875
2025-08-24 19:39:26.900,0.139734,0.156319,0.156331,0.137649,0.15219,0.1875,0.13928,0.1875
2025-08-24 19:39:26.903,0.139507,0.156216,0.156077,0.137111,0.151782,0.1875,0.139362,0.1875
2025-08-24 19:39:26.904,0.139701,0.156383,0.156282,0.137374,0.151983,0.1875,0.139374,0.1875
2025-08-24 19:39:26.908,0.139964,0.156583,0.156588,0.137883,0.152399,0.1875,0.139435,0.1875
2025-08-24 19:39:26.912,0.140008,0.156605,0.156649,0.137972,0.152492,0.1875,-0.048016,0.1875
2025-08-24 19:39:26.916,0.139828,0.156457,0.15645,0.137631,0.152235,0.1875,0.139518,0.1875
2025-08-24 19:39:26.921,0.139772,0.156483,0.156381,0.137385,0.152042,0.1875,0.139579,0.1875
2025-08-24 19:39:26.925,0.140065,0.180157,0.156703,0.137862,0.152424,0.1875,0.139628,0.1875
2025-08-24 19:39:26.929,0.140229,0.156842,0.15727,0.138201,0.152716,0.1875,0.139685,0.1875
2025-08-24 19:39:26.933,0.140152,0.156752,0.156823,0.138071,0.152628,0.1875,0.139727,0.1875
2025-08-24 19:39:26.937,0.139937,0.15663,0.156586,0.137611,0.15228,0.1875,0.139769,0.1875
2025-08-24 19:39:26.941,0.139982,0.1567,0.156627,0.137597,0.152262,0.1875,0.139802,0.1875
2025-08-24 19:39:26.949,0.140276,0.156935,0.15695,0.138075,0.152645,0.1875,0.139852,0.1875
