# YuEEG 日志 - 2025-08-24 19:54:18
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# .000000,0.000000
2025-08-24 19:54:18.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:54:18.769,0.106636,0.11441,0.101039,0.125999,0.037547,0.132347,0.113857,0.1875
2025-08-24 19:54:18.773,0.06393,0.068588,0.060568,0.065149,0.025701,0.090566,0.077912,0.130911
2025-08-24 19:54:18.780,0.053817,0.057747,0.050971,0.063541,0.025062,0.088382,0.076035,0.1309
2025-08-24 19:54:18.791,0.053815,0.057758,0.05096,0.063565,0.025063,0.088404,0.076052,0.130916
2025-08-24 19:54:18.793,0.053837,0.057783,0.051,0.063631,0.025134,0.088433,0.076084,0.130949
2025-08-24 19:54:18.794,0.05389,0.05781,0.051035,0.063675,0.025165,0.088453,0.076104,0.130965
2025-08-24 19:54:18.796,0.053898,0.057823,0.051024,0.063647,0.025158,0.088461,0.076114,0.130959
2025-08-24 19:54:18.800,0.053895,0.057858,0.051014,0.063641,0.025146,0.088481,0.076126,0.130966
2025-08-24 19:54:18.805,0.05392,0.057851,0.144787,0.06369,0.025194,0.088504,0.076153,0.131012
2025-08-24 19:54:18.810,0.053959,0.057882,0.051083,0.06377,0.025241,0.088531,0.076235,0.131027
2025-08-24 19:54:18.814,0.053979,0.057902,0.051097,0.063762,0.025254,0.088545,0.076196,0.131024
2025-08-24 19:54:18.818,0.053978,0.057913,0.051078,0.063732,0.025238,0.088561,0.087924,0.131025
2025-08-24 19:54:18.823,0.053981,0.057924,0.051083,0.063755,0.025254,0.088576,0.076221,0.131042
2025-08-24 19:54:18.828,0.054022,0.05795,0.051123,0.063851,0.025309,0.088605,0.076254,0.131086
2025-08-24 19:54:18.832,0.054055,0.057977,0.05116,0.063865,0.02534,0.088631,0.076279,0.131092
2025-08-24 19:54:18.838,0.054063,0.05799,0.05115,0.06384,0.025335,0.088642,0.076286,0.131088
2025-08-24 19:54:18.845,0.054061,0.058004,0.051141,0.063834,0.025327,0.088654,0.076297,0.131096
2025-08-24 19:54:18.848,0.054085,0.058019,0.051163,0.063881,0.02537,0.088677,0.076324,0.13114
2025-08-24 19:54:18.850,0.05417,0.05805,0.051224,0.06396,0.025417,0.088703,0.07636,0.131156
2025-08-24 19:54:18.854,0.054144,0.151824,0.051224,0.064318,0.025429,0.088722,0.076366,0.131154
2025-08-24 19:54:18.858,0.054144,0.058082,0.051207,0.063924,0.025412,0.088735,0.076377,0.13116
2025-08-24 19:54:18.864,0.054155,0.058093,0.051212,0.063977,0.025431,0.08875,0.076394,0.131189
2025-08-24 19:54:18.870,0.054188,0.058119,0.051275,0.064042,0.025485,0.088778,0.076438,0.131216
2025-08-24 19:54:18.873,0.05422,0.058154,0.051293,0.064057,0.025519,0.088805,0.076451,0.131222
2025-08-24 19:54:18.877,0.054226,0.058161,0.05128,0.06402,0.025515,0.088815,0.076457,0.131221
2025-08-24 19:54:18.882,0.05423,0.058173,0.051277,0.064043,0.025504,0.088827,0.07648,0.131236
2025-08-24 19:54:18.886,0.054251,0.058188,0.051317,0.06411,0.025546,0.088851,0.076511,0.13127
2025-08-24 19:54:18.890,0.054289,0.05823,0.051353,0.064152,0.025593,0.088885,0.076532,0.131286
2025-08-24 19:54:18.894,0.054312,0.058243,0.051355,0.064145,0.0256,0.088895,0.076538,0.131283
2025-08-24 19:54:18.900,0.054309,0.058251,0.051337,0.064121,0.025588,0.088908,0.076549,0.13129
2025-08-24 19:54:18.906,-0.133181,0.058262,0.051357,0.064168,0.025607,0.088923,0.076581,0.131318
2025-08-24 19:54:18.913,0.054352,0.058302,0.051404,0.064233,0.025661,0.088963,0.076609,0.131345
2025-08-24 19:54:18.916,0.054385,0.058321,0.051422,0.064248,0.025692,0.088976,0.076621,0.131351
2025-08-24 19:54:18.917,0.054392,0.058329,0.051409,0.064211,0.02568,0.088988,0.076657,0.13135
2025-08-24 19:54:18.922,0.054395,0.05834,0.051406,0.064234,0.02568,0.089008,0.07665,0.131366
2025-08-24 19:54:18.927,0.054415,0.05837,0.051445,0.064298,0.025748,0.089037,0.076682,0.131398
2025-08-24 19:54:18.931,0.054833,0.058397,0.051482,0.064343,0.02578,0.089056,0.076702,0.131416
2025-08-24 19:54:18.936,0.054476,0.058409,0.051484,0.064318,0.025776,0.089067,0.076714,0.131413
2025-08-24 19:54:18.940,0.054474,0.058419,0.051465,0.064312,0.025765,0.089086,0.076726,0.13142
