# YuEEG 日志 - 2025-08-24 20:00:53
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-08-24 20:00:54.124,0.0,0.00293,0.0,4.6e-05,0.0,0.0,0.0,1e-06
# 收到:1
# Channel:0.000000,0.000000,0.000000,0.000000,0.023437,0.000092,0.000000,0.000000,0.000001
# Channel:12582912.000000,0.163328,0.172712,0.187500,0.117097,0.062759,0.149413,0.052412,0.133855
# Channel:12582912.000000,0.090382,0.095671,0.104619,0.083682,0.044850,0.106747,0.046566,0.118848
# Channel:12582912.000000,0.089579,0.094820,0.104708,0.083764,0.044950,0.106790,0.046616,0.118914
# Channel:12582912.000000,0.089602,0.094843,0.104719,0.083721,0.044936,0.106807,0.046639,0.118929
# Channel:12582912.000000,0.089619,0.094864,0.104774,0.083790,0.044974,0.106866,0.046699,0.119027
# Channel:12582912.000000,0.089687,0.094936,0.104862,0.083873,0.045075,0.106909,0.046748,0.119066
# Channel:12582912.000000,0.089711,0.094956,0.104871,0.083830,0.045061,0.106925,0.046773,0.119081
# Channel:12582912.000000,0.089740,0.094981,0.104926,0.083900,0.045315,0.106984,0.046831,0.119153
# Channel:12582912.000000,0.089798,0.095053,0.105013,0.083982,0.045201,0.107029,0.046888,0.119217
# Channel:12582912.000000,0.089820,0.095072,0.105016,0.083938,0.045185,0.107053,0.046905,0.119231
# Channel:12582912.000000,0.089839,0.095116,0.105075,0.084008,0.045257,0.107104,0.046964,0.119329
# Channel:12582912.000000,0.089924,0.095170,0.105162,0.084093,0.045325,0.107155,0.047020,0.119367
# Channel:12582912.000000,0.089931,0.095189,0.105165,0.084048,0.045310,0.107172,0.047036,0.119401
# Channel:12582912.000000,0.089950,0.095232,0.105225,0.084158,0.045382,0.107222,0.047116,0.119478
# Channel:12582912.000000,0.090033,0.095286,0.105322,0.084201,0.045633,0.107272,0.047152,0.119517
# Channel:12582944.000000,0.090040,0.095308,0.105314,0.084156,0.045434,0.107290,0.047169,0.119551
# Channel:12582912.000000,0.090081,0.095348,0.105373,0.084266,0.045507,0.107340,0.047247,0.119628
# Channel:12582912.000000,0.090142,0.095401,0.105470,0.084308,0.045577,0.107391,0.047283,0.119668
# Channel:12582928.000000,0.090150,0.095423,0.105462,0.084273,0.045559,0.107409,0.047316,0.119700
# Channel:12582912.000000,0.093121,0.095464,0.105522,0.084336,0.045632,0.113318,0.047380,0.119778
# Channel:12582912.000000,0.090254,0.095519,0.111467,0.084418,0.045699,0.108235,0.047415,0.119819
# Channel:12582912.000000,0.090261,0.095537,0.105611,0.084375,0.045684,0.107527,0.047432,0.119850
# Channel:12582912.000000,0.090279,0.095581,0.105670,0.084485,0.045756,0.107577,0.047511,0.119927
# Channel:12582912.000000,0.090363,0.095634,0.105756,0.084525,0.045822,0.107620,0.047546,0.119964
# Channel:12582912.000000,0.090370,0.095652,0.105763,0.084481,0.045805,0.107636,0.047562,0.119979
# Channel:12582912.000000,0.090389,0.095677,0.105787,0.084553,0.046029,0.107676,0.047622,0.120051
# Channel:12582912.000000,0.090457,0.095735,0.105882,0.084634,0.045934,0.107728,0.047670,0.120107
# Channel:12582912.000000,0.090484,0.119204,0.105916,0.084603,0.045940,0.107750,0.047684,0.120117
# Channel:12582912.000000,0.090483,0.095780,0.105913,0.084626,0.045945,0.107778,0.047731,0.120172
# Channel:12845056.000000,0.090546,0.095833,0.106001,0.084730,0.046035,0.107832,0.047791,0.120243
# Channel:12582912.000000,0.090591,0.095876,0.106062,0.084733,0.046073,0.107865,0.047812,0.120263
